ANIO,Catar,Ecuador,Senegal,Países Bajos,Inglaterra,Irán,Estados Unidos,Gales,Argentina,Arabia Saudí,México,Polonia,Francia,Australia,Dinamarca,Túnez,España,Costa Rica,Alemania,Japón,Bélgica,Canadá,Marruecos,Croacia,Brasil,Serbia,Suiza,Camerún,Portugal,Ghana,Uruguay,República de Corea
Uruguay-1930,0,0,0,0,0,0,4,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,6,0
Italia-1934,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,3,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0
Francia-1938,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,4,0,3,0,0,0,0,0
No celebrado-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No celebrado-1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil-1950,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,1,0,0,0,6,0
Suiza-1954,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0,0,0,3,3,3,0,0,0,4,1
Suecia-1958,0,0,0,0,1,0,0,3,1,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,6,3,0,0,0,0,0,0
Chile-1962,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,6,4,1,0,0,0,1,0
Inglaterra-1966,0,0,0,0,6,0,0,0,3,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,1,0,4,0,3,0
México-1970,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0,1,0,6,0,0,0,0,0,4,0
Alemania (RFA)-1974,0,0,0,5,0,0,0,0,2,0,0,4,0,1,0,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,1,0
Argentina-1978,0,0,0,5,0,1,0,0,6,0,1,2,1,0,0,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
España-1982,0,0,0,0,2,0,0,0,2,0,0,4,4,0,0,0,2,0,5,0,2,0,0,0,2,1,0,1,0,0,0,0
México-1986,0,0,0,0,3,0,0,0,6,0,3,2,4,0,2,0,3,0,5,0,4,1,2,0,3,0,0,0,1,0,2,1
Italia-1990,0,0,0,2,4,0,1,0,5,0,0,0,0,0,0,0,2,2,6,0,2,0,0,0,2,3,0,3,0,0,2,1
Estados Unidos-1994,0,0,0,3,0,0,2,0,2,2,2,0,0,0,0,0,3,0,3,0,2,0,1,0,6,0,2,1,0,0,0,1
Francia-1998,0,0,0,4,2,1,1,0,3,1,2,0,0,0,3,1,1,0,3,1,1,0,1,4,5,2,0,1,0,0,0,1
Corea S. y Japón-2002,0,1,3,0,3,0,3,0,1,1,2,1,1,0,2,1,3,1,5,2,2,0,0,1,6,0,0,1,1,0,1,4
Alemania-2006,0,2,0,2,3,1,1,0,3,1,2,1,5,2,0,1,2,1,4,1,0,0,0,1,3,1,2,0,4,2,0,1
Sudáfrica-2010,0,0,0,5,2,0,2,0,3,0,2,0,1,1,1,0,6,0,4,2,0,0,0,0,3,1,1,1,2,3,4,2
Brasil-2014,0,1,0,4,1,1,2,0,5,0,2,0,3,1,0,0,1,3,6,1,3,0,0,1,4,0,2,1,1,1,2,1
Rusia-2018,0,0,1,0,4,1,0,0,2,1,2,1,6,1,2,1,2,1,1,2,4,0,1,5,3,1,2,0,2,0,3,1