fase,partido,posicion_partido,team,prob
OF,OF1,OF1A,Portugal,24.427
OF,OF1,OF1H,Uruguay,20.625
OF,OF2,OF2A,Croacia,14.938
OF,OF2,OF2H,Francia,33.828
OF,OF3,OF3H,Brasil,51.079
OF,OF3,OF3A,México,9.628
OF,OF4,OF4H,Bélgica,27.682
OF,OF4,OF4A,Inglaterra,32.053
OF,OF5,OF5A,Irán,27.243
OF,OF5,OF5H,España,42.168
OF,OF6,OF6H,Argentina,42.916
OF,OF6,OF6A,Senegal,10.23
OF,OF7,OF7H,Alemania,43.981
OF,OF7,OF7A,Suiza,15.374
OF,OF8,OF8A,Ghana,19.854
OF,OF8,OF8H,Catar,26.942
QF,QF1,QF1A,Francia,20.364
QF,QF1,QF1H,Portugal,13.243
QF,QF2,QF2H,Brasil,35.427
QF,QF2,QF2A,Inglaterra,15.226
QF,QF3,QF3A,Argentina,25.205
QF,QF3,QF3H,España,25.491
QF,QF4,QF4A,Colombia,12.518
QF,QF4,QF4H,Catar,29.466